"Date
▼",Visitor/Neutral,PTS,Home/Neutral,PTS
"Fri, Dec 16, 2022",Minnesota Timberwolves,112,Oklahoma City Thunder,110
"Fri, Dec 16, 2022",Portland Trail Blazers,110,Dallas Mavericks,130
"Fri, Dec 16, 2022",Denver Nuggets,108,Los Angeles Lakers,126
"Sat, Dec 17, 2022",Washington Wizards,93,Los Angeles Clippers,102
"Sat, Dec 17, 2022",Miami Heat,111,San Antonio Spurs,101
"Sat, Dec 17, 2022",Dallas Mavericks,99,Cleveland Cavaliers,100
"Sat, Dec 17, 2022",Portland Trail Blazers,107,Houston Rockets,95
"Sat, Dec 17, 2022",Utah Jazz,97,Milwaukee Bucks,123
"Sat, Dec 17, 2022",Memphis Grizzlies,109,Oklahoma City Thunder,115
"Sat, Dec 17, 2022",New Orleans Pelicans,114,Phoenix Suns,118
"Sun, Dec 18, 2022",Orlando Magic,95,Boston Celtics,92
"Sun, Dec 18, 2022",New York Knicks,109,Indiana Pacers,106
"Sun, Dec 18, 2022",Brooklyn Nets,124,Detroit Pistons,121
"Sun, Dec 18, 2022",Golden State Warriors,126,Toronto Raptors,110
"Sun, Dec 18, 2022",Chicago Bulls,126,Minnesota Timberwolves,150
"Sun, Dec 18, 2022",Charlotte Hornets,115,Denver Nuggets,119
"Sun, Dec 18, 2022",Washington Wizards,117,Los Angeles Lakers,119
"Mon, Dec 19, 2022",Utah Jazz,99,Cleveland Cavaliers,122
"Mon, Dec 19, 2022",Toronto Raptors,101,Philadelphia 76ers,104
"Mon, Dec 19, 2022",Orlando Magic,125,Atlanta Hawks,126
"Mon, Dec 19, 2022",San Antonio Spurs,124,Houston Rockets,105
"Mon, Dec 19, 2022",Dallas Mavericks,106,Minnesota Timberwolves,116
"Mon, Dec 19, 2022",Milwaukee Bucks,128,New Orleans Pelicans,119
"Mon, Dec 19, 2022",Portland Trail Blazers,121,Oklahoma City Thunder,123
"Mon, Dec 19, 2022",Los Angeles Lakers,104,Phoenix Suns,130
"Mon, Dec 19, 2022",Charlotte Hornets,125,Sacramento Kings,119
"Tue, Dec 20, 2022",Utah Jazz,126,Detroit Pistons,111
"Tue, Dec 20, 2022",Chicago Bulls,113,Miami Heat,103
"Tue, Dec 20, 2022",Golden State Warriors,94,New York Knicks,132
"Tue, Dec 20, 2022",Washington Wizards,113,Phoenix Suns,110
"Tue, Dec 20, 2022",Memphis Grizzlies,91,Denver Nuggets,105
"Wed, Dec 21, 2022",Milwaukee Bucks,106,Cleveland Cavaliers,114
"Wed, Dec 21, 2022",Detroit Pistons,93,Philadelphia 76ers,113
"Wed, Dec 21, 2022",Chicago Bulls,110,Atlanta Hawks,108
"Wed, Dec 21, 2022",Indiana Pacers,117,Boston Celtics,112
"Wed, Dec 21, 2022",Golden State Warriors,113,Brooklyn Nets,143
"Wed, Dec 21, 2022",Toronto Raptors,113,New York Knicks,106
"Wed, Dec 21, 2022",Orlando Magic,116,Houston Rockets,110
"Wed, Dec 21, 2022",Dallas Mavericks,104,Minnesota Timberwolves,99
"Wed, Dec 21, 2022",Portland Trail Blazers,98,Oklahoma City Thunder,101
"Wed, Dec 21, 2022",Los Angeles Lakers,120,Sacramento Kings,134
"Wed, Dec 21, 2022",Charlotte Hornets,105,Los Angeles Clippers,126
"Thu, Dec 22, 2022",San Antonio Spurs,117,New Orleans Pelicans,126
"Thu, Dec 22, 2022",Washington Wizards,112,Utah Jazz,120
"Fri, Dec 23, 2022",San Antonio Spurs,113,Orlando Magic,133
"Fri, Dec 23, 2022",Los Angeles Clippers,114,Philadelphia 76ers,119
"Fri, Dec 23, 2022",Detroit Pistons,105,Atlanta Hawks,130
"Fri, Dec 23, 2022",Minnesota Timberwolves,109,Boston Celtics,121
"Fri, Dec 23, 2022",Milwaukee Bucks,100,Brooklyn Nets,118
"Fri, Dec 23, 2022",Toronto Raptors,118,Cleveland Cavaliers,107
"Fri, Dec 23, 2022",Chicago Bulls,118,New York Knicks,117
"Fri, Dec 23, 2022",Dallas Mavericks,112,Houston Rockets,106
"Fri, Dec 23, 2022",Indiana Pacers,111,Miami Heat,108
"Fri, Dec 23, 2022",New Orleans Pelicans,128,Oklahoma City Thunder,125
"Fri, Dec 23, 2022",Portland Trail Blazers,107,Denver Nuggets,120
"Fri, Dec 23, 2022",Memphis Grizzlies,125,Phoenix Suns,100
"Fri, Dec 23, 2022",Washington Wizards,125,Sacramento Kings,111
"Fri, Dec 23, 2022",Charlotte Hornets,134,Los Angeles Lakers,130
"Sun, Dec 25, 2022",Philadelphia 76ers,119,New York Knicks,112
"Sun, Dec 25, 2022",Los Angeles Lakers,115,Dallas Mavericks,124
"Sun, Dec 25, 2022",Milwaukee Bucks,118,Boston Celtics,139
"Sun, Dec 25, 2022",Memphis Grizzlies,109,Golden State Warriors,123
"Sun, Dec 25, 2022",Phoenix Suns,125,Denver Nuggets,128
"Mon, Dec 26, 2022",Brooklyn Nets,125,Cleveland Cavaliers,117
"Mon, Dec 26, 2022",Los Angeles Clippers,142,Detroit Pistons,131
"Mon, Dec 26, 2022",Minnesota Timberwolves,110,Miami Heat,113
"Mon, Dec 26, 2022",Houston Rockets,133,Chicago Bulls,118
"Mon, Dec 26, 2022",Indiana Pacers,93,New Orleans Pelicans,113
"Mon, Dec 26, 2022",Utah Jazz,122,San Antonio Spurs,126
"Mon, Dec 26, 2022",Charlotte Hornets,113,Portland Trail Blazers,124
"Tue, Dec 27, 2022",Los Angeles Lakers,129,Orlando Magic,110
"Tue, Dec 27, 2022",Philadelphia 76ers,111,Washington Wizards,116
"Tue, Dec 27, 2022",Houston Rockets,102,Boston Celtics,126
"Tue, Dec 27, 2022",Atlanta Hawks,114,Indiana Pacers,129
"Tue, Dec 27, 2022",Los Angeles Clippers,124,Toronto Raptors,113
"Tue, Dec 27, 2022",Phoenix Suns,125,Memphis Grizzlies,108
"Tue, Dec 27, 2022",San Antonio Spurs,114,Oklahoma City Thunder,130
"Tue, Dec 27, 2022",New York Knicks,121,Dallas Mavericks,126
"Tue, Dec 27, 2022",Charlotte Hornets,105,Golden State Warriors,110
"Tue, Dec 27, 2022",Denver Nuggets,113,Sacramento Kings,106
"Wed, Dec 28, 2022",Orlando Magic,101,Detroit Pistons,121
"Wed, Dec 28, 2022",Phoenix Suns,102,Washington Wizards,127
"Wed, Dec 28, 2022",Brooklyn Nets,108,Atlanta Hawks,107
"Wed, Dec 28, 2022",Los Angeles Lakers,98,Miami Heat,112
"Wed, Dec 28, 2022",Milwaukee Bucks,113,Chicago Bulls,119
"Wed, Dec 28, 2022",Minnesota Timberwolves,118,New Orleans Pelicans,119
"Wed, Dec 28, 2022",Utah Jazz,107,Golden State Warriors,112
"Wed, Dec 28, 2022",Denver Nuggets,126,Sacramento Kings,127
"Thu, Dec 29, 2022",Oklahoma City Thunder,113,Charlotte Hornets,121
"Thu, Dec 29, 2022",Cleveland Cavaliers,126,Indiana Pacers,135
"Thu, Dec 29, 2022",Los Angeles Clippers,110,Boston Celtics,116
"Thu, Dec 29, 2022",Memphis Grizzlies,119,Toronto Raptors,106
"Thu, Dec 29, 2022",New York Knicks,115,San Antonio Spurs,122
"Thu, Dec 29, 2022",Houston Rockets,114,Dallas Mavericks,129
"Fri, Dec 30, 2022",Washington Wizards,119,Orlando Magic,100
"Fri, Dec 30, 2022",Los Angeles Lakers,130,Atlanta Hawks,121
"Fri, Dec 30, 2022",Phoenix Suns,104,Toronto Raptors,113
"Fri, Dec 30, 2022",Detroit Pistons,118,Chicago Bulls,132
"Fri, Dec 30, 2022",Minnesota Timberwolves,114,Milwaukee Bucks,123
"Fri, Dec 30, 2022",Philadelphia 76ers,116,New Orleans Pelicans,127
"Fri, Dec 30, 2022",Miami Heat,119,Denver Nuggets,124
"Fri, Dec 30, 2022",Portland Trail Blazers,112,Golden State Warriors,118
"Fri, Dec 30, 2022",Utah Jazz,125,Sacramento Kings,126
"Sat, Dec 31, 2022",Los Angeles Clippers,130,Indiana Pacers,131
"Sat, Dec 31, 2022",Cleveland Cavaliers,103,Chicago Bulls,102
"Sat, Dec 31, 2022",Brooklyn Nets,123,Charlotte Hornets,106
"Sat, Dec 31, 2022",New York Knicks,108,Houston Rockets,88
"Sat, Dec 31, 2022",Dallas Mavericks,126,San Antonio Spurs,125
"Sat, Dec 31, 2022",New Orleans Pelicans,101,Memphis Grizzlies,116
"Sat, Dec 31, 2022",Detroit Pistons,116,Minnesota Timberwolves,104
"Sat, Dec 31, 2022",Philadelphia 76ers,115,Oklahoma City Thunder,96
"Sat, Dec 31, 2022",Miami Heat,126,Utah Jazz,123
2/1/2023,Portland Trail Blazers,122,Memphis Grizzlies,112
2/1/2023,Orlando Magic,94,Philadelphia 76ers,105
2/1/2023,Brooklyn Nets,96,Boston Celtics,139
2/1/2023,Oklahoma City Thunder,106,Houston Rockets,112
2/1/2023,Golden State Warriors,114,Minnesota Timberwolves,119
2/1/2023,Sacramento Kings,119,San Antonio Spurs,109
2/1/2023,Toronto Raptors,128,Utah Jazz,131
2/1/2023,Atlanta Hawks,132,Phoenix Suns,100
2/2/2023,Los Angeles Lakers,112,Indiana Pacers,111
2/2/2023,Memphis Grizzlies,113,Cleveland Cavaliers,128
2/2/2023,Miami Heat,104,New York Knicks,106
2/2/2023,Charlotte Hornets,98,Chicago Bulls,114
2/2/2023,New Orleans Pelicans,106,Dallas Mavericks,111
2/2/2023,Golden State Warriors,117,Denver Nuggets,134
2/2/2023,Los Angeles Clippers,105,Milwaukee Bucks,106
2/3/2023,Charlotte Hornets,112,Detroit Pistons,118
2/3/2023,Sacramento Kings,104,Indiana Pacers,107
2/3/2023,Portland Trail Blazers,124,Washington Wizards,116
2/3/2023,Phoenix Suns,106,Boston Celtics,94
2/3/2023,Toronto Raptors,117,Houston Rockets,111
2/3/2023,Orlando Magic,127,Minnesota Timberwolves,120
2/3/2023,Philadelphia 76ers,137,San Antonio Spurs,125
2/3/2023,Atlanta Hawks,115,Utah Jazz,108
2/4/2023,Washington Wizards,123,Brooklyn Nets,125
2/4/2023,Los Angeles Lakers,126,New Orleans Pelicans,131
2/4/2023,Phoenix Suns,116,Detroit Pistons,100
2/4/2023,Los Angeles Clippers,134,New York Knicks,128
2/4/2023,Portland Trail Blazers,121,Chicago Bulls,129
2/4/2023,Miami Heat,115,Milwaukee Bucks,123
2/4/2023,Houston Rockets,121,Oklahoma City Thunder,153
2/4/2023,Dallas Mavericks,113,Golden State Warriors,119
2/4/2023,Atlanta Hawks,108,Denver Nuggets,128
2/5/2023,Orlando Magic,119,Charlotte Hornets,113
2/5/2023,Cleveland Cavaliers,122,Indiana Pacers,103
2/5/2023,Toronto Raptors,106,Memphis Grizzlies,103
2/5/2023,Philadelphia 76ers,97,New York Knicks,108
2/5/2023,Denver Nuggets,98,Minnesota Timberwolves,128
2/5/2023,Sacramento Kings,104,New Orleans Pelicans,136
2/6/2023,Boston Celtics,111,Detroit Pistons,99
2/6/2023,Cleveland Cavaliers,114,Washington Wizards,91
2/6/2023,Los Angeles Clippers,124,Brooklyn Nets,116
2/6/2023,San Antonio Spurs,104,Chicago Bulls,128
2/6/2023,Sacramento Kings,140,Houston Rockets,120
2/6/2023,Dallas Mavericks,124,Utah Jazz,111
2/6/2023,Oklahoma City Thunder,114,Golden State Warriors,141
2/6/2023,Milwaukee Bucks,127,Portland Trail Blazers,108
2/7/2023,New York Knicks,102,Orlando Magic,98
2/7/2023,Phoenix Suns,116,Brooklyn Nets,112
2/7/2023,Atlanta Hawks,107,New Orleans Pelicans,116
2/7/2023,Chicago Bulls,89,Memphis Grizzlies,104
2/7/2023,Minnesota Timberwolves,112,Denver Nuggets,146
2/7/2023,Oklahoma City Thunder,133,Los Angeles Lakers,130
2/8/2023,Detroit Pistons,85,Cleveland Cavaliers,113
2/8/2023,Charlotte Hornets,104,Washington Wizards,118
2/8/2023,Philadelphia 76ers,99,Boston Celtics,106
2/8/2023,Indiana Pacers,111,Miami Heat,116
2/8/2023,San Antonio Spurs,98,Toronto Raptors,112
2/8/2023,Sacramento Kings,130,Houston Rockets,128
2/8/2023,Minnesota Timberwolves,143,Utah Jazz,118
2/8/2023,Dallas Mavericks,110,Los Angeles Clippers,104
2/8/2023,Golden State Warriors,122,Portland Trail Blazers,125
2/9/2023,Denver Nuggets,104,Orlando Magic,115
2/9/2023,Phoenix Suns,107,Atlanta Hawks,116
2/9/2023,Chicago Bulls,105,Brooklyn Nets,116
2/9/2023,Milwaukee Bucks,115,Los Angeles Lakers,106
2/10/2023,San Antonio Spurs,131,Detroit Pistons,138
2/10/2023,Phoenix Suns,117,Indiana Pacers,104
2/10/2023,New York Knicks,108,Philadelphia 76ers,119
2/10/2023,Charlotte Hornets,116,Boston Celtics,127
2/10/2023,Utah Jazz,122,Toronto Raptors,116
2/10/2023,Minnesota Timberwolves,107,Memphis Grizzlies,128
2/10/2023,Houston Rockets,95,Miami Heat,97
2/10/2023,Cleveland Cavaliers,118,New Orleans Pelicans,107
2/10/2023,Oklahoma City Thunder,138,Portland Trail Blazers,129
2/10/2023,Dallas Mavericks,122,Sacramento Kings,114
2/10/2023,Milwaukee Bucks,119,Los Angeles Clippers,106
2/11/2023,Philadelphia 76ers,101,Brooklyn Nets,98
2/11/2023,Denver Nuggets,119,Charlotte Hornets,105
2/11/2023,Miami Heat,107,Orlando Magic,103
2/11/2023,Indiana Pacers,113,Washington Wizards,127
2/11/2023,San Antonio Spurs,106,Atlanta Hawks,125
2/11/2023,Utah Jazz,120,New York Knicks,126
2/11/2023,Chicago Bulls,89,Cleveland Cavaliers,97
2/11/2023,Los Angeles Lakers,109,Golden State Warriors,103
2/11/2023,Dallas Mavericks,128,Sacramento Kings,133
2/12/2023,Memphis Grizzlies,109,Boston Celtics,119
2/12/2023,Detroit Pistons,118,Toronto Raptors,119
