"Date
▼",Visitor/Neutral,PTS,Home/Neutral,PTS
2/13/2023,Atlanta Hawks,138,Charlotte Hornets,144
2/13/2023,San Antonio Spurs,109,Cleveland Cavaliers,117
2/13/2023,Utah Jazz,123,Indiana Pacers,117
2/13/2023,Houston Rockets,104,Philadelphia 76ers,123
2/13/2023,Denver Nuggets,112,Miami Heat,108
2/13/2023,Brooklyn Nets,106,New York Knicks,124
2/13/2023,Orlando Magic,100,Chicago Bulls,91
2/13/2023,New Orleans Pelicans,103,Oklahoma City Thunder,100
2/13/2023,Minnesota Timberwolves,124,Dallas Mavericks,121
2/13/2023,Washington Wizards,126,Golden State Warriors,135
2/13/2023,Los Angeles Lakers,115,Portland Trail Blazers,127
2/14/2023,Boston Celtics,125,Milwaukee Bucks,131
2/14/2023,Orlando Magic,113,Toronto Raptors,123
2/14/2023,Sacramento Kings,109,Phoenix Suns,120
2/14/2023,Golden State Warriors,124,Los Angeles Clippers,134
2/14/2023,Washington Wizards,126,Portland Trail Blazers,101
2/15/2023,San Antonio Spurs,110,Charlotte Hornets,120
2/15/2023,Chicago Bulls,113,Indiana Pacers,117
2/15/2023,New York Knicks,122,Atlanta Hawks,101
2/15/2023,Detroit Pistons,109,Boston Celtics,127
2/15/2023,Miami Heat,105,Brooklyn Nets,116
2/15/2023,Cleveland Cavaliers,112,Philadelphia 76ers,118
2/15/2023,Utah Jazz,111,Memphis Grizzlies,117
2/15/2023,Houston Rockets,96,Oklahoma City Thunder,133
2/15/2023,Dallas Mavericks,109,Denver Nuggets,118
2/15/2023,New Orleans Pelicans,102,Los Angeles Lakers,120
2/16/2023,Milwaukee Bucks,112,Chicago Bulls,100
2/16/2023,Washington Wizards,114,Minnesota Timberwolves,106
2/16/2023,Los Angeles Clippers,116,Phoenix Suns,107
2/23/2023,Denver Nuggets,115,Cleveland Cavaliers,109
2/23/2023,Boston Celtics,142,Indiana Pacers,138
2/23/2023,Detroit Pistons,106,Orlando Magic,108
2/23/2023,Memphis Grizzlies,105,Philadelphia 76ers,110
2/23/2023,New Orleans Pelicans,110,Toronto Raptors,115
2/23/2023,San Antonio Spurs,116,Dallas Mavericks,142
2/23/2023,Oklahoma City Thunder,119,Utah Jazz,120
2/23/2023,Golden State Warriors,111,Los Angeles Lakers,124
2/23/2023,Portland Trail Blazers,116,Sacramento Kings,133
2/24/2023,New York Knicks,115,Washington Wizards,109
2/24/2023,Cleveland Cavaliers,119,Atlanta Hawks,136
2/24/2023,Miami Heat,99,Milwaukee Bucks,128
2/24/2023,Brooklyn Nets,87,Chicago Bulls,131
2/24/2023,Charlotte Hornets,121,Minnesota Timberwolves,113
2/24/2023,Houston Rockets,101,Golden State Warriors,116
2/24/2023,Oklahoma City Thunder,115,Phoenix Suns,124
2/24/2023,Sacramento Kings,176,Los Angeles Clippers,175
2/25/2023,Toronto Raptors,95,Detroit Pistons,91
2/25/2023,Miami Heat,103,Charlotte Hornets,108
2/25/2023,Indiana Pacers,121,Orlando Magic,108
2/25/2023,New Orleans Pelicans,106,New York Knicks,128
2/25/2023,Denver Nuggets,94,Memphis Grizzlies,112
2/25/2023,Boston Celtics,110,Philadelphia 76ers,107
2/25/2023,San Antonio Spurs,102,Utah Jazz,118
2/26/2023,Phoenix Suns,101,Milwaukee Bucks,104
2/26/2023,Brooklyn Nets,127,Atlanta Hawks,129
2/26/2023,Washington Wizards,82,Chicago Bulls,102
2/26/2023,Los Angeles Lakers,111,Dallas Mavericks,108
2/26/2023,Toronto Raptors,93,Cleveland Cavaliers,118
2/26/2023,Sacramento Kings,124,Oklahoma City Thunder,115
2/26/2023,Minnesota Timberwolves,104,Golden State Warriors,109
2/26/2023,Houston Rockets,114,Portland Trail Blazers,131
2/26/2023,Los Angeles Clippers,124,Denver Nuggets,134
2/27/2023,Detroit Pistons,106,Charlotte Hornets,117
2/27/2023,Miami Heat,101,Philadelphia 76ers,99
2/27/2023,Boston Celtics,94,New York Knicks,109
2/27/2023,Orlando Magic,101,New Orleans Pelicans,93
2/28/2023,Washington Wizards,119,Atlanta Hawks,116
2/28/2023,Milwaukee Bucks,118,Brooklyn Nets,104
2/28/2023,Los Angeles Lakers,109,Memphis Grizzlies,121
2/28/2023,Chicago Bulls,98,Toronto Raptors,104
2/28/2023,Denver Nuggets,133,Houston Rockets,112
2/28/2023,Sacramento Kings,123,Oklahoma City Thunder,117
2/28/2023,Indiana Pacers,124,Dallas Mavericks,122
2/28/2023,San Antonio Spurs,102,Utah Jazz,94
2/28/2023,Portland Trail Blazers,105,Golden State Warriors,123
2/28/2023,Minnesota Timberwolves,108,Los Angeles Clippers,101
3/1/2023,Phoenix Suns,105,Charlotte Hornets,91
3/1/2023,Chicago Bulls,117,Detroit Pistons,115
