,Visitor,Visitor_PTS,Home,Home_PTS,VisitorWin,Visitor_W_PCT,Visitor_E_OFF_RATING,Visitor_E_DEF_RATING,Visitor_E_NET_RATING,Visitor_E_PACE,Visitor_E_AST_RATIO,Visitor_E_OREB_PCT,Visitor_E_DREB_PCT,Visitor_E_REB_PCT,Visitor_E_TM_TOV_PCT,Home_E_OFF_RATING,Home_E_DEF_RATING,Home_E_NET_RATING,Home_E_PACE,Home_E_AST_RATIO,Home_E_OREB_PCT,Home_E_DREB_PCT,Home_E_REB_PCT,Home_E_TM_TOV_PCT,Visitor_TS%,Visitor_3P%,Home_TS%,Home_3P%
49,Orlando Magic,108,Chicago Bulls,107,1.0,0.415,109.0,111.5,-2.4,101.7,17.0,0.238,0.777,0.507,0.148,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,113.50%,35.10%,116.30%,36.50%
50,Orlando Magic,100,Chicago Bulls,91,0.0,0.415,109.0,111.5,-2.4,101.7,17.0,0.238,0.777,0.507,0.148,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,113.50%,35.10%,116.30%,36.50%
51,New York Knicks,128,Chicago Bulls,120,1.0,0.573,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,113.50%,35.10%,116.30%,36.50%
52,New York Knicks,114,Chicago Bulls,91,0.0,0.573,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,113.50%,35.10%,116.30%,36.50%
53,Washington Wizards,111,Chicago Bulls,115,0.0,0.427,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,116.00%,36.50%,116.30%,36.50%
54,Washington Wizards,82,Chicago Bulls,102,1.0,0.427,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,116.00%,36.50%,116.30%,36.50%
55,Miami Heat,99,Chicago Bulls,113,1.0,0.537,110.4,110.6,-0.2,98.6,17.8,0.228,0.777,0.492,0.136,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,113.40%,34.80%,116.30%,36.50%
56,Charlotte Hornets,88,Chicago Bulls,106,1.0,0.329,106.7,112.6,-5.9,103.3,17.8,0.238,0.755,0.491,0.137,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,109.20%,32.70%,116.30%,36.50%
57,Charlotte Hornets,98,Chicago Bulls,114,1.0,0.329,106.7,112.6,-5.9,103.3,17.8,0.238,0.755,0.491,0.137,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,109.20%,32.70%,116.30%,36.50%
58,Los Angeles Lakers,121,Chicago Bulls,110,1.0,0.524,111.8,111.5,0.3,103.6,17.9,0.228,0.763,0.505,0.134,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,114.90%,35.50%,116.30%,36.50%
